지역,날짜,총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
전국,2017. 01,577151,577151,0,202360,166402,166402,208389,208389
전국,2017. 02,748848,748848,0,248401,220124,220124,280323,280323
전국,2017. 03,673351,673351,0,241865,190465,190465,241021,241021
전국,2017. 04,532108,532108,0,204112,150047,150047,177949,177949
전국,2017. 05,578011,578011,0,227347,161023,161023,189641,189641
전국,2017. 06,541077,541077,0,210589,151682,151682,178806,178806
전국,2017. 07,543286,543286,0,212217,153390,153390,177679,177679
전국,2017. 08,628151,628151,0,239089,179052,179052,210010,210010
전국,2017. 09,590892,590892,0,236992,167833,167833,186067,186067
전국,2017. 10,528635,528635,0,212708,152209,152209,163718,163718
전국,2017. 11,597466,597466,0,237646,172439,172439,187381,187381
전국,2017. 12,615250,615250,0,228074,177230,177230,209946,209946
전국,2018. 01,662283,662283,0,233888,190997,190997,237398,237398
전국,2018. 02,697706,697706,0,237290,206721,206721,253695,253695
전국,2018. 03,707829,707829,0,261352,202597,202597,243880,243880
전국,2018. 04,593767,593767,0,231928,167570,167570,194269,194269
전국,2018. 05,599570,599570,0,238974,171097,171097,189499,189499
전국,2018. 06,543797,543797,0,216933,152579,152579,174285,174285
전국,2018. 07,568604,568604,0,218934,161972,161972,187698,187698
전국,2018. 08,592108,592108,0,220591,169898,169898,201619,201619
전국,2018. 09,462112,462112,0,179201,132005,132005,150906,150906
전국,2018. 10,637160,637160,0,257947,181064,181064,198149,198149
전국,2018. 11,614814,614814,0,248734,176386,176386,189694,189694
전국,2018. 12,617349,617349,0,230909,178348,178348,208092,208092
전국,2019. 01,667227,667227,0,234956,193445,193445,238826,238826
전국,2019. 02,702329,702329,0,235680,205268,205268,261381,261381
전국,2019. 03,641449,641449,0,233866,185239,185239,222344,222344
전국,2019. 04,587293,587293,0,228355,168989,168989,189949,189949
전국,2019. 05,569020,569020,0,224136,161692,161692,183192,183192
전국,2019. 06,484468,484468,0,188125,139855,139855,156488,156488
전국,2019. 07,563622,563622,0,214682,162732,162732,186208,186208
전국,2019. 08,565607,565607,0,212149,163949,163949,189509,189509
전국,2019. 09,517785,517785,0,196628,150136,150136,171021,171021
전국,2019. 10,594081,594081,0,234419,175332,175332,184330,184330
전국,2019. 11,565735,565735,0,221233,165946,165946,178556,178556
전국,2019. 12,645782,645782,0,235597,187041,187041,223144,223144
전국,2020. 01,647272,647272,0,227111,188199,188199,231962,231962
전국,2020. 02,780471,780471,0,272067,232519,232519,275885,275885
전국,2020. 03,766192,766192,0,282397,223575,223575,260220,260220
전국,2020. 04,614262,614262,0,249856,177011,177011,187395,187395
전국,2020. 05,568965,568965,0,220568,165424,165424,182973,182973
전국,2020. 06,606947,606947,0,232987,175588,175588,198372,198372
전국,2020. 07,582941,582941,0,223585,170550,170550,188806,188806
전국,2020. 08,614735,614735,0,232161,182638,182638,199936,199936
전국,2020. 09,621468,621468,0,245344,186033,186033,190091,190091
전국,2020. 10,604412,604412,0,239644,180759,180759,184009,184009
전국,2020. 11,610204,610204,0,237050,181456,181456,191698,191698
전국,2020. 12,717622,717622,0,263636,211219,211219,242767,242767
전국,2021. 01,633309,633309,0,221633,187981,187981,223695,223695
전국,2021. 02,705794,705794,0,242135,212915,212915,250744,250744
